Product,Package,Weight,A,B,C,D,E,F,G,MJ,MK,I,L,M,N,P,N
P,Commodities,109 lb,140.36,175.4,265.68,313.41,685.11,260.31,337.39,296.16,357.45,659.74,474.29,808.86,173.78,200.49,358.97
P,Commodities,110 lb,141.62,176.85,267.89,316.25,691,262.45,340.56,298.91,360.8,665.13,478.79,815.56,175.35,202.31,362.28
P,Commodities,111 lb,142.89,178.32,270.1,319.11,696.92,264.6,343.74,301.65,364.15,670.52,483.31,822.27,176.92,204.12,365.58
P,Commodities,112 lb,144.14,179.78,272.31,321.95,702.81,266.74,346.92,304.4,367.51,675.91,487.8,828.99,178.48,205.92,368.89
P,Commodities,113 lb,145.4,181.24,274.52,324.81,708.72,268.89,350.09,307.15,370.87,681.28,492.32,835.69,180.05,207.73,372.2
P,Commodities,114 lb,146.66,182.69,276.73,327.66,714.61,271.03,353.25,309.89,374.22,686.68,496.81,842.4,181.62,209.54,375.5
P,Commodities,115 lb,147.92,184.16,278.95,330.51,720.53,273.18,356.42,312.65,377.58,692.07,501.33,849.12,183.19,211.34,378.81
P,Commodities,116 lb,149.18,185.62,281.16,333.35,726.42,275.32,359.6,315.39,380.94,697.45,505.82,855.82,184.75,213.15,382.12
P,Commodities,117 lb,150.44,187.08,283.37,336.2,732.33,277.47,362.78,318.13,384.29,702.85,510.33,862.53,186.33,214.96,385.42
P,Commodities,118 lb,151.71,188.54,285.58,339.05,738.22,279.61,365.95,320.88,387.65,708.22,514.84,869.24,187.89,216.76,388.73
P,Commodities,119 lb,152.95,190.01,287.79,341.91,744.14,281.76,369.11,323.62,391.01,713.61,519.34,875.95,189.46,218.58,392.04
P,Commodities,120 lb,154.21,191.46,290,344.75,750.04,283.9,372.28,326.39,394.36,719.01,523.85,882.66,191.04,220.38,395.35
P,Commodities,121 lb,155.47,192.92,292.22,347.61,755.94,286.05,375.46,329.13,397.72,724.39,528.34,889.36,192.6,222.19,398.65
P,Commodities,122 lb,156.73,194.38,294.43,350.46,761.84,288.19,378.64,331.87,401.07,729.78,532.86,896.06,194.16,224,401.96
P,Commodities,123 lb,157.99,195.84,296.64,353.29,767.75,290.34,381.81,334.62,404.44,735.16,537.35,902.79,195.74,225.8,405.27
P,Commodities,124 lb,159.25,197.31,298.85,356.15,773.65,292.48,384.96,337.36,407.79,740.55,541.87,909.48,197.31,227.61,408.57
P,Commodities,125 lb,160.52,198.76,301.06,359,779.55,294.63,388.14,340.11,411.14,745.94,546.36,916.19,198.87,229.42,411.88
P,Commodities,126 lb,161.76,200.22,303.27,361.85,785.45,296.78,391.32,342.85,414.51,751.33,550.88,922.92,200.45,231.22,415.19
P,Commodities,127 lb,163.02,201.68,305.48,364.71,791.36,298.92,394.49,345.61,417.86,756.72,555.38,929.61,202.01,233.04,418.5
P,Commodities,128 lb,164.28,203.15,307.69,367.55,797.26,301.07,397.67,348.35,421.21,762.09,559.89,936.32,203.58,234.85,421.8
P,Commodities,129 lb,165.54,204.61,309.91,370.41,803.15,303.21,400.82,351.11,424.58,767.49,564.39,943.02,205.14,236.65,425.11
P,Commodities,130 lb,166.8,206.06,312.12,373.25,809.06,305.36,404,353.85,427.93,772.88,568.91,949.74,206.72,238.46,428.42
P,Commodities,131 lb,168.06,207.52,314.33,376.09,814.95,307.5,407.18,356.59,431.28,778.26,573.4,956.45,208.28,240.26,431.72
