"Image","Item Name","SKU","Status","Status Change Reason","Price","Shipping","Price Total","Buy Box","Buy Box Price","Buy Box Shipping","Buy Box Total","Category","Units","Average Rating","Number of Reviews","Item ID","Number of Listings","Item Page Link"
"https://i5.walmartimages.com/asr/5ba9fe3a-46bf-42b3-9774-afd04c481192_1.49399413ce4c305a96b6750634629680.jpeg","Disney Frozen Little Girls' Toddler ""Sister Frames"" Nightgown (Sizes 2T - 4T)","FZ252-1-2T","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",16.97,4.49,21.46,"Buy Box Lost",12.99,0,12.99,"Clothing",5,0,0,"179418463","1","http://www.walmart.com/ip/Disney-Frozen-Little-Girls-Toddler-Sister-Frames-Nightgown-Sizes-2T-4T/179418463"
"https://i5.walmartimages.com/asr/24c5fe68-a951-40cd-87b9-9e25bfc7de7c_1.438dccadf31cd135208b9d4f6103a614.jpeg","Disney Little Girls'Anna and Elsa Costume Knit 2 Piece Pajamas","21FZ025TLLZA-2-3T","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",14.97,4.49,19.46,"",,,"","Clothing",0,0,0,"138543592","0","http://www.walmart.com/ip/Disney-Little-Girls-Anna-and-Elsa-Costume-Knit-2-Piece-Pajamas/138543592"
"https://i5.walmartimages.com/asr/4fc785c3-27ab-4651-a54f-01e8feeeffea_1.02ae603a362a780e54518fda480bc37f.jpeg","Peanuts Girl's Snoopy Short Sleeve Pant Set","K157760PE-1-2T","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",14.99,4.49,19.48,"",,,"","Clothing",0,0,0,"152333481","0","http://www.walmart.com/ip/Peanuts-Girl-s-Snoopy-Short-Sleeve-Pant-Set/152333481"
"https://i5.walmartimages.com/asr/419d86b8-2afb-488d-8c41-14d6dcd34d8f_1.90d03c3d2eaa8b6e4dbe931710f75ded.jpeg","Peppa Pig Little Girls Panties 7 PAIR of Underwear Briefs","peppa-2T/3T","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",19.99,4.49,24.479999999999997,"",,,"","Clothing",17,0,0,"181345685","0","http://www.walmart.com/ip/Peppa-Pig-Little-Girls-Panties-7-PAIR-of-Underwear-Briefs/181345685"
"https://i5.walmartimages.com/asr/9f32032e-a4a4-437f-82bf-24527e53b8f4_1.f5aaea243cf44384d4812a6c75a8850a.jpeg","Batman v Superman Little Boys' ""Dual Shield"" 2-Piece Pajamas (Sizes 4 - 7)","DJ026-4","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",14.99,4.49,19.48,"Buy Box Lost",16.99,0,16.99,"Clothing",3,0,0,"189738621","1","http://www.walmart.com/ip/Batman-v-Superman-Little-Boys-Dual-Shield-2-Piece-Pajamas-Sizes-4-7/189738621"
"https://i5.walmartimages.com/asr/24c5fe68-a951-40cd-87b9-9e25bfc7de7c_1.438dccadf31cd135208b9d4f6103a614.jpeg","Disney Little Girls'Anna and Elsa Costume Knit 2 Piece Pajamas","21FZ025TLLZA-2-4T","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",16.49,4.49,20.979999999999997,"",,,"","Clothing",0,0,0,"186561733","0","http://www.walmart.com/ip/Disney-Little-Girls-Anna-and-Elsa-Costume-Knit-2-Piece-Pajamas/186561733"
"https://i5.walmartimages.com/asr/4d2fd361-6f45-4c25-a577-db9e749ad89c_1.a6c5782df966c6655450278a92a41e80.jpeg","Hello Kitty Santa Kitty Christmas Magic Nightgown","K182895HK-1-6","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",9.99,4.49,14.48,"",,,"","Clothing",36,5,2,"46513898","0","http://www.walmart.com/ip/Girls-Hello-Kitty-Holiday-Sleep-Gown/46513898"
"https://i5.walmartimages.com/asr/08f33124-e3f1-4288-a38d-92bebfeb3b02_1.f2a1661eabd843a43026e95a0689cbed.jpeg","Angry Birds Boys Licensed Cotton Sleep P","K182662AB-6","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",19.99,4.49,24.479999999999997,"Buy Box Lost",19.89,0,19.89,"Clothing",33,0,0,"53965795","1","http://www.walmart.com/ip/Angry-Birds-Boys-Licensed-Cotton-Sleep-Pajama-4-PC-Set/53965795"
"https://i5.walmartimages.com/asr/bc64729a-b9bd-4b15-8b93-9082dd3439cb_1.cee3cc7241320dbaeae733429c55e1d7.jpeg","Mattel Big Boys' Max Steel  4 Piece Cotton Pajama Set, Sizes 4-8","K157351MS-6","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",18.99,4.49,23.479999999999997,"",,,"","Clothing",0,0,0,"196938523","0","http://www.walmart.com/ip/Mattel-Big-Boys-Max-Steel-4-Piece-Cotton-Pajama-Set-Sizes-4-8/196938523"
"https://i5.walmartimages.com/asr/d6d3c695-3ce3-4f50-b066-66119ffb89cc_1.b5e36e06dc3a7b07f923481bd6deda47.jpeg","Disney Frozen Boys Olaf 4 Piece Cotton Pajama Set with Flashlight, Sizes 4-10","21FZ061B-4","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",24.99,4.49,29.479999999999997,"",,,"","Clothing",0,0,0,"127480243","0","http://www.walmart.com/ip/Disney-Frozen-Big-Boys-Olaf-4-Piece-Cotton-Pajama-Set-with-Flashlight/127480243"
"https://i5.walmartimages.com/asr/0a27984e-7ae6-455e-85af-7961b0685d9d_1.c52c8bd222b03b853d6c21403eed0b8f.jpeg","Batman v Superman Big Boys' ""Dual Shield"" 2-Piece Pajamas (Sizes 8 - 20)","DJ026-8","UNPUBLISHED","Customers would save drastically by purchasing this item on a competing website. When unpublished item prices are back within an acceptable range, Walmart will automatically republish the item.",14.99,4.49,19.48,"Buy Box Lost",16.99,0,16.99,"Clothing",11,0,0,"136696412","1","http://www.walmart.com/ip/Batman-v-Superman-Big-Boys-Dual-Shield-2-Piece-Pajamas-Sizes-8-20/136696412"
"https://i5.walmartimages.com/asr/2123b248-e9e7-4990-be41-d8a6d7731806_1.450412917895b45321582420116da9d9.jpeg","WWE Boys' License 2pc Sleep Short Set","B55WE-L","UNPUBLISHED","An internal error occurred while publishing this item. Please re-ingest the item.",,,"","",,,"","Clothing",0,0,0,"41922951","0","http://www.walmart.com/ip/WWE-Boys-License-2pc-Sleep-Short-Set/41922951"
"https://i5.walmartimages.com/asr/2123b248-e9e7-4990-be41-d8a6d7731806_1.450412917895b45321582420116da9d9.jpeg","WWE Boys' License 2pc Sleep Short Set","B55WE-M","UNPUBLISHED","An internal error occurred while publishing this item. Please re-ingest the item.",,,"","",,,"","Clothing",0,0,0,"41922492","0","http://www.walmart.com/ip/WWE-Boys-License-2pc-Sleep-Short-Set/41922492"
"https://i5.walmartimages.com/asr/048a1f49-ac51-487a-b8ba-3df073b91ab0_1.3d94d56f5680700b14f7e8df07c18fc3.jpeg","WWE Boys' License 2pc Sleep Short Set","B55WE-XS","UNPUBLISHED","An internal error occurred while publishing this item. Please re-ingest the item.",,,"","",,,"","Clothing",0,0,0,"41922488","0","http://www.walmart.com/ip/WWE-Boys-License-2pc-Sleep-Short-Set/41922488"
"https://i5.walmartimages.com/asr/2123b248-e9e7-4990-be41-d8a6d7731806_1.450412917895b45321582420116da9d9.jpeg","WWE Boys' License 2pc Sleep Short Set","B55WE-S","UNPUBLISHED","An internal error occurred while publishing this item. Please re-ingest the item.",,,"","",,,"","Clothing",0,0,0,"41922489","0","http://www.walmart.com/ip/WWE-Boys-License-2pc-Sleep-Short-Set/41922489"
"https://i5.walmartimages.com/asr/6b15fa12-c694-4c2b-83a9-757ed2b59fb5_1.172afab001c43e1915adf868712ec8f1.jpeg","Spider-Man Boys Blue Pajama Pants, Sizes 4-10","S5056BPT-2XL","UNPUBLISHED","Your item is unpublished because the end date has passed. To republish your item, re-ingest the item with a new start and end date.",9.99,4.49,14.48,"",,,"","Clothing",0,0,0,"117046359","0","http://www.walmart.com/ip/Spider-Man-Boys-Blue-Poly-Pajama-Pants/117046359"
,"Visco-GEL 'Stay-Put' Toe Spacers Medium 4/Pack","1557-DSS-3","UNPUBLISHED","Your item is unpublished because the end date has passed. To republish your item, re-ingest the item with a new start and end date.",99.99,,99.99,"",,,"","Health & Beauty",0,0,0,"140224035","0",
