WM Price,Amz Price,dif,Price,Change Pr,WM ItemId,SKU,Style Id,Size,comments
16.99,14.99,$2.00,14.99,Y,123188533,K156412MM-M,K156412MM,7/8,
16.99,14.99,$2.00,14.99,Y,157496039,K157351MS-8,K157351MS,8,
17.99,15.99,$2.00,15.99,Y,147375851,K157456PN-4-4T,K157456PN,4T,
16.99,14.99,$2.00,14.99,Y,161983093,K166994PN-2-4T,K166994PN,4T,
16.99,14.99,$2.00,14.99,Y,115712695,LM055-2-4,LM055,4,
14.97,12.99,$1.98,12.99,Y,100295116,21DY035TLLZA-1-2T,21DY035TLLZA,2T,
14.97,12.99,$1.98,12.99,Y,195193581,21DY035TLLZA-1-3T,21DY035TLLZA,3T,
14.97,12.99,$1.98,12.99,Y,146057481,21DY035TLLZA-1-4T,21DY035TLLZA,4T,
14.97,12.99,$1.98,12.99,Y,115307990,21DY035TLLZA-2T,21DY035TLLZA,2T,
14.97,12.99,$1.98,12.99,Y,188486317,21DY035TLLZA-3T,21DY035TLLZA,3T,
14.97,12.99,$1.98,12.99,Y,176304317,21DY035TLLZA-4T,21DY035TLLZA,4T,
18.97,16.99,$1.98,16.99,Y,141727404,DP177-1-10,DP177,10,
18.97,16.99,$1.98,16.99,Y,158297357,DP177-1-8,DP177,7/8,
19.99,18.39,$1.60,18.39,Y,162161412,21DM263GBSDZ-2-4,21DM263GBSDZ,4,
19.99,18.49,$1.50,18.49,Y,106710481,21DM045EZSDZ-2T,21DM045EZSDZ,2T,
18.99,17.49,$1.50,17.49,Y,173207823,21DP053GLLZA-2-4,21DP053GLLZA,4,
23.99,22.49,$1.50,22.49,Y,149401968,21TD012GLLDZ-2-8,21TD012GLLDZ,8,
14.39,12.99,$1.40,12.99,Y,181406364,K157541PL-2-2T,K157541PL,2T,
14.39,12.99,$1.40,12.99,Y,103529203,K157541PL-2-3T,K157541PL,3T,
14.39,12.99,$1.40,12.99,Y,149504596,K157541PL-2-4T,K157541PL,4T,
17.99,16.99,$1.00,16.99,Y,117182932,21AZ056LLGPZA-10,21AZ056LLGPZA,10/12,
17.99,16.99,$1.00,16.99,Y,138730264,21AZ056LLGPZA-1-10,21AZ056LLGPZA,10/12,
17.99,16.99,$1.00,16.99,Y,132658132,21AZ056LLGPZA-1-4,21AZ056LLGPZA,4/5,
17.99,16.99,$1.00,16.99,Y,140816690,21AZ056LLGPZA-1-8,21AZ056LLGPZA,7/8,
17.99,16.99,$1.00,16.99,Y,135840895,21AZ056LLGPZA-3-8,21AZ056LLGPZA,7/8,
17.99,16.99,$1.00,16.99,Y,145330177,21AZ056LLGPZA-4,21AZ056LLGPZA,4/5,
14.99,13.99,$1.00,13.99,Y,123583341,21DM038T-1-4T,21DM038T,4T,
17.99,16.99,$1.00,16.99,Y,NULL,21DY079TZSDZ-2T,21DY079TZSDZ,2T,
19.99,18.99,$1.00,18.99,Y,162849184,21FZ215GGLDZ-3-10,21FZ215GGLDZ,10,
19.99,18.99,$1.00,18.99,Y,165821435,21FZ215GGLDZ-3-6,21FZ215GGLDZ,6,
19.99,18.99,$1.00,18.99,Y,117403054,21FZ215GGLDZ-3-8,21FZ215GGLDZ,8,
24.99,23.99,$1.00,23.99,Y,161157558,21ST064BLLDZ-2-4,21ST064BLLDZ,4,
19.99,18.99,$1.00,18.99,Y,193829215,21ST068BLLDZ-10,21ST068BLLDZ,10,
19.99,18.99,$1.00,18.99,Y,115675350,21ST068BLLDZ-1-10,21ST068BLLDZ,10,
19.99,18.99,$1.00,18.99,Y,182045626,21ST068BLLDZ-1-4,21ST068BLLDZ,4,
19.99,18.99,$1.00,18.99,Y,156433068,21ST068BLLDZ-4,21ST068BLLDZ,4,
23.99,22.99,$1.00,22.99,Y,193416715,21ST107ELLZA-3T,21ST107ELLZA,3T,
23.99,22.99,$1.00,22.99,Y,196683549,TD008-shs-12,21TD008GDLDZ,12,
23.99,22.99,$1.00,22.99,Y,179925886,TD008-shs-8,21TD008GDLDZ,8,
17.99,16.99,$1.00,16.99,Y,152521721,21TE058ELLDZ-3T,21TE058ELLDZ,3T,
23.99,22.99,$1.00,22.99,Y,125630433,21WN003ELLDZ-2-3T,21WN003ELLDZ,3T,
17.99,16.99,$1.00,16.99,Y,163588776,FZ104G-4,FZ104G,4,
17.99,16.99,$1.00,16.99,Y,197887453,FZ104G-6,FZ104G,6,
17.99,16.99,$1.00,16.99,Y,147288960,FZ104G-8,FZ104G,8,
19.99,18.99,$1.00,18.99,Y,166603703,K157358SM-4/5,K157358SM,4/5,
19.99,18.99,$1.00,18.99,Y,110233902,K157358SM-6/7,K157358SM,6/7,
14.99,13.99,$1.00,13.99,Y,183921061,K157497PL-2T,K157497PL,2T,
14.99,13.99,$1.00,13.99,Y,165443487,K157497PL-3T,K157497PL,3T,
14.99,13.99,$1.00,13.99,Y,108307830,K157497PL-4T,K157497PL,4T,
14.99,13.99,$1.00,13.99,Y,190732391,K157641YG-2-2T,K157641YG,2T,
14.99,13.99,$1.00,13.99,Y,163676071,K157641YG-2-4T,K157641YG,4T,
14.99,13.99,$1.00,13.99,Y,109977835,K157641YG-3-3T,K157641YG,3T,
17.99,16.99,$1.00,16.99,Y,139076435,K157738AL-3T,K157738AL,3T,
19.99,18.99,$1.00,18.99,Y,188665084,LM039-4-4T,LM039,4T,
17.99,16.99,$1.00,16.99,Y,107185282,peppa_undies_7pk-2-4T,peppa,4T,
16.99,15.99,$1.00,15.99,Y,143656913,21HK118-2-6,21HK118,6,
19.97,18.99,$0.98,18.99,Y,127973125,21TE062ERDZA-1-5T,21TE062ERDZA,5T,
